Area,Age,Persons,Males,Females,Current Age,Age Group
State - KARNATAKA (29),0,933645,478346,455299,10,000-009
State - KARNATAKA (29),1,1017674,522962,494712,11,010-019
State - KARNATAKA (29),2,1010479,515273,495206,12,010-019
State - KARNATAKA (29),3,1042923,531690,511233,13,010-019
State - KARNATAKA (29),4,1041998,533753,508245,14,010-019
State - KARNATAKA (29),5,1087322,562819,524503,15,010-019
State - KARNATAKA (29),6,1026992,530448,496544,16,010-019
State - KARNATAKA (29),7,1019047,523831,495216,17,010-019
State - KARNATAKA (29),8,1055117,540621,514496,18,010-019
State - KARNATAKA (29),9,1053031,538951,514080,19,010-019
State - KARNATAKA (29),10,1224051,629780,594271,20,020-029
State - KARNATAKA (29),11,1125702,575938,549764,21,020-029
State - KARNATAKA (29),12,1159844,596025,563819,22,020-029
State - KARNATAKA (29),13,1091404,562002,529402,23,020-029
State - KARNATAKA (29),14,1135645,591542,544103,24,020-029
State - KARNATAKA (29),15,1145252,602212,543040,25,020-029
State - KARNATAKA (29),16,1129795,592938,536857,26,020-029
State - KARNATAKA (29),17,1048278,551764,496514,27,020-029
State - KARNATAKA (29),18,1381362,724617,656745,28,020-029
State - KARNATAKA (29),19,1122590,570517,552073,29,020-029
State - KARNATAKA (29),20,1524165,762130,762035,30,030-039
State - KARNATAKA (29),21,1060423,550991,509432,31,030-039
State - KARNATAKA (29),22,1273163,657812,615351,32,030-039
State - KARNATAKA (29),23,1039971,547788,492183,33,030-039
State - KARNATAKA (29),24,1154836,590865,563971,34,030-039
State - KARNATAKA (29),25,1592968,763779,829189,35,030-039
State - KARNATAKA (29),26,1140351,581485,558866,36,030-039
State - KARNATAKA (29),27,935419,482004,453415,37,030-039
State - KARNATAKA (29),28,1236233,613736,622497,38,030-039
State - KARNATAKA (29),29,866635,438250,428385,39,030-039
State - KARNATAKA (29),30,1719007,845770,873237,40,040-049
State - KARNATAKA (29),31,727252,380167,347085,41,040-049
State - KARNATAKA (29),32,871926,451178,420748,42,040-049
State - KARNATAKA (29),33,598490,313778,284712,43,040-049
State - KARNATAKA (29),34,781705,398701,383004,44,040-049
State - KARNATAKA (29),35,1638532,800477,838055,45,040-049
State - KARNATAKA (29),36,822894,409024,413870,46,040-049
State - KARNATAKA (29),37,617110,310358,306752,47,040-049
State - KARNATAKA (29),38,941872,457432,484440,48,040-049
State - KARNATAKA (29),39,675043,341797,333246,49,040-049
State - KARNATAKA (29),40,1637089,823742,813347,50,050-059
State - KARNATAKA (29),41,576127,306718,269409,51,050-059
State - KARNATAKA (29),42,639629,340074,299555,52,050-059
State - KARNATAKA (29),43,433115,228323,204792,53,050-059
State - KARNATAKA (29),44,540752,278911,261841,54,050-059
State - KARNATAKA (29),45,1422243,712351,709892,55,050-059
State - KARNATAKA (29),46,576785,299209,277576,56,050-059
State - KARNATAKA (29),47,410656,218353,192303,57,050-059
State - KARNATAKA (29),48,629167,323743,305424,58,050-059
State - KARNATAKA (29),49,480931,251177,229754,59,050-059
State - KARNATAKA (29),50,1290554,632755,657799,60,060-069
State - KARNATAKA (29),51,396861,211406,185455,61,060-069
State - KARNATAKA (29),52,381511,207091,174420,62,060-069
State - KARNATAKA (29),53,260886,143052,117834,63,060-069
State - KARNATAKA (29),54,369458,187665,181793,64,060-069
State - KARNATAKA (29),55,886623,411078,475545,65,060-069
State - KARNATAKA (29),56,360426,185534,174892,66,060-069
State - KARNATAKA (29),57,227838,122072,105766,67,060-069
State - KARNATAKA (29),58,348093,176999,171094,68,060-069
State - KARNATAKA (29),59,319524,160371,159153,69,060-069
State - KARNATAKA (29),60,1072592,488309,584283,70,070-079
State - KARNATAKA (29),61,295429,148940,146489,71,070-079
State - KARNATAKA (29),62,260636,134717,125919,72,070-079
State - KARNATAKA (29),63,184521,99590,84931,73,070-079
State - KARNATAKA (29),64,246874,123074,123800,74,070-079
State - KARNATAKA (29),65,759442,341547,417895,75,070-079
State - KARNATAKA (29),66,234903,115807,119096,76,070-079
State - KARNATAKA (29),67,141435,75286,66149,77,070-079
State - KARNATAKA (29),68,204229,102595,101634,78,070-079
State - KARNATAKA (29),69,180110,88452,91658,79,070-079
State - KARNATAKA (29),70,643836,293723,350113,80,080-089
State - KARNATAKA (29),71,150225,74383,75842,81,080-089
State - KARNATAKA (29),72,106442,56974,49468,82,080-089
State - KARNATAKA (29),73,66500,37000,29500,83,080-089
State - KARNATAKA (29),74,94122,48339,45783,84,080-089
State - KARNATAKA (29),75,279569,128357,151212,85,080-089
State - KARNATAKA (29),76,86471,42828,43643,86,080-089
State - KARNATAKA (29),77,41764,22567,19197,87,080-089
State - KARNATAKA (29),78,57008,28737,28271,88,080-089
State - KARNATAKA (29),79,59614,27345,32269,89,080-089
State - KARNATAKA (29),80,232187,94923,137264,90,090-099
State - KARNATAKA (29),81,53678,23980,29698,91,090-099
State - KARNATAKA (29),82,30278,15163,15115,92,090-099
State - KARNATAKA (29),83,19444,10111,9333,93,090-099
State - KARNATAKA (29),84,26437,12589,13848,94,090-099
State - KARNATAKA (29),85,71741,29626,42115,95,090-099
State - KARNATAKA (29),86,23828,10892,12936,96,090-099
State - KARNATAKA (29),87,11700,5752,5948,97,090-099
State - KARNATAKA (29),88,12994,6195,6799,98,090-099
State - KARNATAKA (29),89,13475,5688,7787,99,090-099
State - KARNATAKA (29),90,46439,17828,28611,100,100-109
State - KARNATAKA (29),91,11291,4722,6569,101,100-109
State - KARNATAKA (29),92,6819,3339,3480,102,100-109
State - KARNATAKA (29),93,4372,2271,2101,103,100-109
State - KARNATAKA (29),94,5613,2610,3003,104,100-109
State - KARNATAKA (29),95,14320,5729,8591,105,100-109
State - KARNATAKA (29),96,5694,2515,3179,106,100-109
State - KARNATAKA (29),97,3355,1579,1776,107,100-109
State - KARNATAKA (29),98,5242,2248,2994,108,100-109
State - KARNATAKA (29),99,3646,1316,2330,109,100-109
